AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
0114CP00023,CITY OF LONDON,0,531560,181560,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00024,CITY OF LONDON,0,532640,181100,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00025,CITY OF LONDON,0,533080,181250,1,2 Passenger,2 Female,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00026,CITY OF LONDON,0,532710,181110,1,2 Passenger,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00027,CITY OF LONDON,0,532420,180820,1,1 Driver/Rider,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00028,CITY OF LONDON,0,532460,181150,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00029,CITY OF LONDON,0,531720,180940,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00030,CITY OF LONDON,0,532700,181110,2,3 Pedestrian,1 Male,25-59,50,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00030,CITY OF LONDON,0,532700,181110,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00031,CITY OF LONDON,0,531730,180830,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00032,CITY OF LONDON,0,531640,181030,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00033,CITY OF LONDON,0,531630,181130,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00035,CITY OF LONDON,0,531892,181368,2,3 Pedestrian,2 Female,25-59,29,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0114CP00035,CITY OF LONDON,0,531892,181368,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00036,CITY OF LONDON,0,532160,181420,1,3 Pedestrian,1 Male,25-59,47,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00037,CITY OF LONDON,0,532130,181410,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
0114CP00038,CITY OF LONDON,0,532810,181170,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00038,CITY OF LONDON,0,532810,181170,2,3 Pedestrian,1 Male,25-59,42,1,3 Slight,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
0114CP00041,CITY OF LONDON,0,532710,181120,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00042,CITY OF LONDON,0,533200,181430,1,3 Pedestrian,1 Male,60+,71,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114CP00043,CITY OF LONDON,0,533070,180930,2,3 Pedestrian,2 Female,25-59,37,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00043,CITY OF LONDON,0,533070,180930,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00044,CITY OF LONDON,0,531600,181340,2,2 Passenger,2 Female,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114CP00044,CITY OF LONDON,0,531600,181340,1,2 Passenger,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114CP00045,CITY OF LONDON,0,532810,180920,1,3 Pedestrian,2 Female,16-24,20,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0114CP00046,CITY OF LONDON,0,532890,180700,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00047,CITY OF LONDON,0,533240,181530,1,3 Pedestrian,2 Female,25-59,26,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0114CP00048,CITY OF LONDON,0,533340,181730,1,3 Pedestrian,1 Male,60+,61,1,2 Serious,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0114CP00049,CITY OF LONDON,0,531850,181700,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00050,CITY OF LONDON,0,532860,181010,1,3 Pedestrian,2 Female,25-59,55,1,2 Serious,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0114CP00051,CITY OF LONDON,0,532950,180820,1,3 Pedestrian,1 Male,25-59,26,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114CP00052,CITY OF LONDON,0,531630,181170,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00053,CITY OF LONDON,0,532250,181200,1,2 Passenger,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00054,CITY OF LONDON,0,532840,180700,1,1 Driver/Rider,1 Male,25-59,36,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00055,CITY OF LONDON,0,531580,181170,1,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00056,CITY OF LONDON,0,532100,181840,1,3 Pedestrian,2 Female,25-59,25,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00057,CITY OF LONDON,0,532830,181030,1,1 Driver/Rider,1 Male,16-24,21,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00059,CITY OF LONDON,0,532820,181520,1,1 Driver/Rider,1 Male,25-59,46,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00060,CITY OF LONDON,0,533720,181260,1,3 Pedestrian,1 Male,0-15,13,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114CP00061,CITY OF LONDON,0,532480,180810,1,1 Driver/Rider,2 Female,25-59,25,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00062,CITY OF LONDON,0,533680,180900,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00063,CITY OF LONDON,0,532400,181330,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00064,CITY OF LONDON,0,532930,180830,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00067,CITY OF LONDON,0,532740,181130,1,3 Pedestrian,2 Female,16-24,21,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00068,CITY OF LONDON,0,533250,181530,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00069,CITY OF LONDON,0,531760,180950,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00072,CITY OF LONDON,0,531620,181170,1,3 Pedestrian,1 Male,25-59,44,1,3 Slight,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
0114CP00075,CITY OF LONDON,0,531560,181560,2,1 Driver/Rider,1 Male,25-59,51,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00075,CITY OF LONDON,0,531560,181560,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00078,CITY OF LONDON,0,531660,180920,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00079,CITY OF LONDON,0,532030,181310,1,3 Pedestrian,2 Female,25-59,30,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00081,CITY OF LONDON,0,532790,181530,1,3 Pedestrian,2 Female,25-59,28,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0114CP00083,CITY OF LONDON,0,531500,181170,1,1 Driver/Rider,1 Male,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00083,CITY OF LONDON,0,531500,181170,2,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00084,CITY OF LONDON,0,532460,180960,1,2 Passenger,2 Female,60+,64,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00087,CITY OF LONDON,0,532970,180950,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00088,CITY OF LONDON,0,533280,181590,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00088,CITY OF LONDON,0,533280,181590,2,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114CP00091,CITY OF LONDON,0,533280,181590,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00093,CITY OF LONDON,0,532980,181120,1,3 Pedestrian,1 Male,25-59,25,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
0114CP00095,CITY OF LONDON,0,532270,181020,1,3 Pedestrian,1 Male,0-15,4,1,2 Serious,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00098,CITY OF LONDON,0,533370,181120,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00102,CITY OF LONDON,0,533680,180890,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00105,CITY OF LONDON,0,532360,180990,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00106,CITY OF LONDON,0,532840,181520,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00107,CITY OF LONDON,0,531630,181170,1,1 Driver/Rider,1 Male,25-59,32,1,1 Fatal,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00108,CITY OF LONDON,0,532770,181750,1,2 Passenger,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00111,CITY OF LONDON,0,531850,181710,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00112,CITY OF LONDON,0,532000,181040,1,3 Pedestrian,2 Female,25-59,51,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0114CP00114,CITY OF LONDON,0,533320,181660,2,3 Pedestrian,1 Male,25-59,28,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00114,CITY OF LONDON,0,533320,181660,1,1 Driver/Rider,2 Female,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00118,CITY OF LONDON,0,533020,180820,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00119,CITY OF LONDON,0,532650,181270,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114CP00119,CITY OF LONDON,0,532650,181270,2,2 Passenger,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114CP00120,CITY OF LONDON,0,532180,181060,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114CP00120,CITY OF LONDON,0,532180,181060,2,1 Driver/Rider,1 Male,16-24,17,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00121,CITY OF LONDON,0,532131,181386,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00122,CITY OF LONDON,0,531630,180800,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00122,CITY OF LONDON,0,531630,180800,2,3 Pedestrian,1 Male,25-59,42,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0114CP00125,CITY OF LONDON,0,532220,181030,1,3 Pedestrian,1 Male,25-59,42,1,2 Serious,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
0114CP00127,CITY OF LONDON,0,533030,181110,1,3 Pedestrian,1 Male,25-59,40,1,2 Serious,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0114CP00129,CITY OF LONDON,0,532220,180950,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00131,CITY OF LONDON,0,532700,181550,1,3 Pedestrian,1 Male,25-59,44,1,2 Serious,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00132,CITY OF LONDON,0,531400,180820,1,1 Driver/Rider,1 Male,60+,61,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00133,CITY OF LONDON,0,533330,181690,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00135,CITY OF LONDON,0,533040,181120,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00136,CITY OF LONDON,0,533210,181420,1,1 Driver/Rider,1 Male,25-59,34,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
0114CP00137,CITY OF LONDON,0,532410,181320,1,1 Driver/Rider,1 Male,0-15,13,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00138,CITY OF LONDON,0,531790,181380,1,3 Pedestrian,1 Male,25-59,41,1,3 Slight,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
0114CP00139,CITY OF LONDON,0,532880,181200,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00140,CITY OF LONDON,0,532480,181300,1,3 Pedestrian,1 Male,25-59,46,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00141,CITY OF LONDON,0,532530,181140,1,3 Pedestrian,1 Male,25-59,51,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114CP00142,CITY OF LONDON,0,532110,181060,1,2 Passenger,1 Male,60+,68,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00143,CITY OF LONDON,0,532440,181950,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00144,CITY OF LONDON,0,532790,180720,1,3 Pedestrian,1 Male,60+,73,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0114CP00146,CITY OF LONDON,0,532850,181025,2,3 Pedestrian,2 Female,25-59,57,1,3 Slight,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
0114CP00146,CITY OF LONDON,0,532850,181025,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00147,CITY OF LONDON,0,532320,181190,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00148,CITY OF LONDON,0,532780,180400,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00149,CITY OF LONDON,0,532020,181360,1,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00150,CITY OF LONDON,0,532970,180960,1,3 Pedestrian,2 Female,Unknown,0,1,2 Serious,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
0114CP00151,CITY OF LONDON,0,532410,180820,1,1 Driver/Rider,1 Male,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00152,CITY OF LONDON,0,532420,180830,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00153,CITY OF LONDON,0,531783,180817,2,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114CP00153,CITY OF LONDON,0,531783,180817,1,1 Driver/Rider,1 Male,25-59,26,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
0114CP00154,CITY OF LONDON,0,532860,180840,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00155,CITY OF LONDON,0,532850,180750,1,3 Pedestrian,1 Male,25-59,50,1,2 Serious,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114CP00156,CITY OF LONDON,0,533250,181530,1,2 Passenger,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00157,CITY OF LONDON,0,531600,181330,1,3 Pedestrian,1 Male,25-59,38,1,3 Slight,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
0114CP00158,CITY OF LONDON,0,532840,180680,1,2 Passenger,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00159,CITY OF LONDON,0,533360,181120,2,1 Driver/Rider,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114CP00159,CITY OF LONDON,0,533360,181120,1,2 Passenger,2 Female,16-24,21,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
0114CP00160,CITY OF LONDON,0,532700,181110,1,1 Driver/Rider,2 Female,25-59,40,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00161,CITY OF LONDON,0,533060,181450,1,2 Passenger,2 Female,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00163,CITY OF LONDON,0,532700,181110,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00165,CITY OF LONDON,0,533060,181230,1,2 Passenger,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00166,CITY OF LONDON,0,531560,181560,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00167,CITY OF LONDON,0,531640,180990,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00170,CITY OF LONDON,0,533730,181250,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,01 Crossing Road On Ped Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
0114CP00171,CITY OF LONDON,0,532530,181060,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00172,CITY OF LONDON,0,532850,180850,1,3 Pedestrian,2 Female,25-59,44,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00173,CITY OF LONDON,0,531640,180900,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00174,CITY OF LONDON,0,533230,181180,1,3 Pedestrian,1 Male,25-59,43,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0114CP00175,CITY OF LONDON,0,531560,181580,1,1 Driver/Rider,1 Male,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00176,CITY OF LONDON,0,531260,181210,1,3 Pedestrian,1 Male,25-59,55,1,2 Serious,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0114CP00176,CITY OF LONDON,0,531260,181210,2,3 Pedestrian,2 Female,25-59,54,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0114CP00177,CITY OF LONDON,0,533320,181670,1,3 Pedestrian,2 Female,16-24,19,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00178,CITY OF LONDON,0,531560,181560,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114CP00179,CITY OF LONDON,0,532650,181110,1,3 Pedestrian,2 Female,25-59,35,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0114CP00180,CITY OF LONDON,0,532910,180840,1,2 Passenger,1 Male,0-15,7,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114CP00181,CITY OF LONDON,0,533070,181450,1,1 Driver/Rider,2 Female,25-59,28,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00182,CITY OF LONDON,0,531600,181370,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00183,CITY OF LONDON,0,533370,181900,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00184,CITY OF LONDON,0,531640,181100,1,1 Driver/Rider,2 Female,25-59,54,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00185,CITY OF LONDON,0,531170,181120,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00187,CITY OF LONDON,0,532140,181600,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00187,CITY OF LONDON,0,532140,181600,2,1 Driver/Rider,1 Male,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114CP00189,CITY OF LONDON,0,533240,181520,1,3 Pedestrian,2 Female,25-59,25,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0114CP00191,CITY OF LONDON,0,532740,181050,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
